Quantity,Value,Footprint,Reference
3,B-V-20-LF,GBH-254-SMT-20,"BANK_EB1, BANK_NA1, BANK_NB1"
1,B-V-34-LF,GBH-254-SMT-34,BANK_MISC1
18,2.2uF/6.3V/20%/X5R/C0402,C_0402_5MIL_DWS,"C1, C2, C3, C4, C5, C6, C7, C8, C43, C47, C58, C62, C66, C68, C73, C78, C106, C107"
41,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,"C9, C10, C11, C12, C13, C14, C15, C16, C30, C42, C44, C46, C48, C59, C63, C67, C70, C75, C82, C85, C86, C87, C88, C89, C90, C91, C92, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C108, C109"
45,1nF/50V/10%/X7R/C0402,C_0402_5MIL_DWS,"C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C31, C32, C33, C34, C35, C36, C37, C38, C41, C45, C49, C50, C51, C52, C53, C54, C55, C56, C57, C60, C61, C64, C65, C69, C71, C72, C74, C76, C77, C79, C80, C81"
3,10uF/6.3V/X5R/20%/C0402,C_0402_5MIL_DWS,"C39, C40, C126"
6,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,"C83, C112, C114, C118, C120, C124"
2,18pF/50V/5%/C0G/C0402,C_0402_5MIL_DWS,"C110, C111"
5,47uF/6.3V/20%/X5R/C0805,C_0805_5MIL_DWS,"C113, C115, C119, C121, C125"
2,LED/GREEN/0603,LED_0603_KA,"CFG_DONE_LED1, FPGA_LED1"
3,LED/RED/0603,LED_0603_KA,"CFG_FAILED_LED1, FPGA_RST_LED1, PWR_LED1"
1,DSHP04TS-S,DSHP04TS-S-1.27mm_Half_4_Slide,CFG_SET1
2,H-WX-1x2-LF(Closed),HN1x2(SMD)_H-WX-1x2-LF,"CLK0_EN1, POR_EN1"
1,Q10MHz/30ppm/1.62V-3.63V/4P/5x3.2mm(SX5M10.000M20F30TNN_LCSC-C2901522),5032-4P_HCX-3S,CR1
1,1N5819S4/SOD123,SOD-123_1C-2A_KA,D1
2,BSS138(SOT-23-3),SOT23,"FET1, FET2"
4,YTS-A016-X,YTS-A016-X,"FPGA_BUT1, FPGA_RST1, RP-BOOT1, RP-RST1"
1,LED/YELLOW/0603,LED_0603_KA,JTAG_LED1
6,MJ6,MJ6,"JUMP_CAP1, JUMP_CAP2, JUMP_CAP3, JUMP_CAP4, JUMP_CAP5, JUMP_CAP6"
2,FB0805/600R/2A,L_0805_5MIL_DWS,"L1, L2"
5,1.0uH/2.5A/DCR=30mR/20%/3.00x3.00x1.50mm/CD32(SWPA3015S1R0MT),CD32,"L3, L4, L5, L6, L7"
1,MDR6_MINI-DIN,PS2_MDR6_MINI-DIN,PS2_KBD1
1,F-R-2x06-LF,Digilent_Pmod_12-pin,Pmod1
1,Q12MHz/20pF/10ppm/4P/3.2x2.5mm,TSX-3.2x2.5mm_GND(3),Q1
4,0R/R0402,R_0402_5MIL_DWS,"R2, R3, R6, R10"
1,4.7R/R0402,R_0402_5MIL_DWS,R5
8,2.2k/R0402,R_0402_5MIL_DWS,"R7, R17, R18, R25, R26, R27, R66, R76"
10,10k/R0402,R_0402_5MIL_DWS,"R8, R19, R23, R24, R28, R29, R30, R45, R53, R57"
6,100R/R0402,R_0402_5MIL_DWS,"R20, R36, R46, R50, R51, R59"
1,200R/1%/R0402,R_0402_5MIL_DWS,R22
3,22R/R0402,R_0402_5MIL_DWS,"R31, R54, R58"
3,430R/1%/R0402,R_0402_5MIL_DWS,"R32, R37, R41"
3,866R/1%/R0402,R_0402_5MIL_DWS,"R33, R38, R42"
3,2.05k/1%/R0402,R_0402_5MIL_DWS,"R34, R39, R43"
3,4.42k/1%/R0402,R_0402_5MIL_DWS,"R35, R40, R44"
2,27R/R0402,R_0402_5MIL_DWS,"R55, R56"
1,3.32k/1%/R0402,R_0402_5MIL_DWS,R60
1,4.7k/1%/R0402,R_0402_5MIL_DWS,R61
4,100k/R0402,R_0402_5MIL_DWS,"R62, R63, R69, R70"
2,1.05k/1%/R0402,R_0402_5MIL_DWS,"R64, R65"
1,20k/1%/R0402,R_0402_5MIL_DWS,R67
3,10k/1%/R0402,R_0402_5MIL_DWS,"R68, R71, R72"
1,1k/1%/R0402,R_0402_5MIL_DWS,R73
2,5.1k/1%/R0402,R_0402_5MIL_DWS,"R74, R75"
1,6.04k/1%/R0402,R_0402_5MIL_DWS,R77
1,2k/1%/R0402,R_0402_5MIL_DWS,R78
1,3.01k/1%/R0402,R_0402_5MIL_DWS,R79
2,RA1206_(4x0603)_4B8_10k,RA1206_(4X0603)_4B8_xx,"RM1, RM2"
1,CCGM1A1(FBGA-324),FBGA-324_P0.8mm_Pad0.4mm_Ball0.45mm_Dim15.00x15.00x1.20mm,U1
1,HX7027(SOT-23-3),SOT-23,U2
2,TXB0108PWR(TSSOP-20),TSSOP20_Pitch-0.65mm_6.6x4.5x1.2mm,"U5, U6"
2,LY68S3200SLT(SOIC-8_150mil),SOIC-8_150mil,"U7, U9"
1,ZD25WQ16CSIGT(SOIC-8_208mils),SO-8_208mil,U8
1,RP2040(QFN-56_7x7mm_P0.4mm),QFN56_7x7_Pitch_0.4mm,U10
5,TPS62A02ADRLR(SOT-563-6),SOT-563-6,"U11, U12, U13, U14, U15"
1,P-B-V-10-LF,GBH-254-SMT-10,UEXT1
1,USB-C-16P-F(A40-00119-A52-12),USB2.0_TYPE-C(A40-00119-A52-12)_Paste,USB-C1
1,H-WX-1x3-LF(1-2:Closed/2-3:Opened),HN1x3(SMD)_H-WX-1x3-LF,VDD_CORE_SET1
3,H-V33X-2x03-LF(1-2:Closed),GPH254SMT02x03(H-V33X-2X3-LF),"VDD_EB_SEL1, VDD_NA_SEL1, VDD_NB_SEL1"
1,HDR15-3.08-14.5T/VGA15/14.5mm,VGA15-F(HDR15-3.08-14.5T)_DrillSlot,VGA1
